id;citation;reponse;coeur
44;-"Je veux juste savoir, ai-je été un bon père?";Barbe Blanche;1
45;-"Il faut dire aussi qu'avec un tel homme comme capitaine, il n'y a rien à faire peut-être";Akainu;0
46;-"Une mort qui siéra à merveille au leader d'un tas de déchets";Akainu;0
47;-"Cette ère est celle de Barbe Blanche";Ace;1
48;-"Tu ferais mieux de me retenir fermement. Car si tu ne le fais pas, tu peux être sûr que le vais lui faire la peau";Garp;1
49;-"Même si j'ai été un bon à rien toute ma vie, même si je porte en moi le sang du démon. Vous m'aimiez malgré tout";Ace;1
50;-"La vie de ce garçon est le vestige de la volonté d'Ace";Marco;0
51;-"L'excès de confiance, la négligence. Ce sont tes points faibles";Barbe Blanche;0
52;-"Dis-le moi si tu veux, mais je n'irais pas. Cet endroit ne m'intéresse pas";Barbe Blanche;0
53;-"Le One Piece existe vraiment";Barbe Blanche;1
54;-"Ceci est mon ère";Barbe Noire;0
55;-"Notre justice universelle jamais ne faillira";Sengoku;1
56;-"Si tu veux le protéger, essaie au moins de le faire correctement";Crocodile;0
57;-"Ce serait un grand gâchis qu'il meure dans une situation pareille";Law;0
58;-"A l'intérieur de ma tête, une 'voix', une simple voix, juste une simple, a disparu";Kobby;0
59;-"Quel gâchis de vies";Kobby;0
60;-"Dorénavant tous les marines, ne croyez pas qu'ils ont l'air de parfaits idiots?";Kobby;1
61;-"Les secondes de courage que tu as gagné au péril de ta vie, en bien ou en mal, viennent de changer le destin de ce monde";Shanks;0
62;-"Je suis venu mettre fin à cette guerre";Shanks;1
63;-"Si je le voyais maintenant, je briserais notre promesse. J'ai pas raison?";Shanks;0
64;-"Il pourrait bien mettre fin à ses jours dès qu'il en aura à nouveau la force";Brannew;0
65;-"Tu ne crois pas que c'est une fin digne de ce nom? Un peu mieux que 'liquidé par le gouvernement' tout du moins";Doflamingo;0
66;-"Cela fait une exception exceptionnelle dans une autre exception exceptionnelle";Nyon;0
67;-"Wow tu sais vraiment pas mentir";Porchemy;0
68;-"Sale avorton, tu penses que tu es un homme juste parce que tu sais garder un putain de secret, hein?";Porchemy;0
69;-"Quand je fais face à un ennemi, il est hors de question de m'enfuir";Ace;0
70;-"Mais j'ai personne d'autre sur qui comptez";Luffy;0
71;-"Celui qu'ils aimaient était 'Quelqu'un qui protège son `status` et sa `fortune`', pas moi";Sabo;0
72;-"Ne va pas près de la montagne de déchets. Ces choses là-bas ne sont pas des humains";Outlook III;0
73;-"Peu importe si ces salauds là-bas dans le monde, ne reconnaissent pas mon existence, peu importe à quel point ils me détestent. Je deviendrai un grand pirate et je les regarderai de haut";Ace;0
74;-"Peu importe ce que nous faison ou où nous sommes, ce lien ne se rompera jamais";Ace;0
75;-"Même si à la base je ne voulais pas que le vrai fils revienne à la maison";Stelly;0
76;-"J'ai dit qu'ils vont brûler tous les déchets de ce royaume";Stelly;0
77;-"Ainsi, tu as donc fini par forcer tes enfants à dire ce genre de chose";Dragon;1
78;-"C'est entièrement vrai! Ils auraient dû naître nobles! C'est stupide de leur part";Une fille de noble;0
79;-"Une femme et un gosse... Ne surestime pas tes capacités, c'est le meilleur moyen pour être blessé";Bluejam;0
80;-"S'il y a un drapeau pirate, c'est que c'est un pirate, tout simplement";Un dragon Celest;0
81;-"C'est vrai, il est violent, soupe au lait, et égoïste lorsqu'il s'énerve. Mais ses actions ont toujours été justes et droites, comme celles d'un enfant";Garp;0
82;-"Si tu peux grandir et devenir ce genre d'homme, alors là et seulement là, tu pourras vivre et mourir comme tu l'entendras";Dadan;0
83;-"Il est toujours un petit bébé pleurnichard mais, c'est notre petit frère. Prend soin de lui pour moi";Sabo;0
84;-"Le caoutchouc n'est vraiment pas fait pour qu'on se batte avec";Ace;0
85;-"Ce petit malin!!! Il se fiche encore de moi!!";Dadan;0
86;-"Je hais les bandits des montagnes, mais vous tous, je vous aime";Luffy;0
87;-"Je suis faible";Luffy;1
