id;citation;reponse;coeur
62;-"En témoignage de mon respect pour le courageux combat que tu as mené laisse moi t'offrir cette petite pépite d'or";Ener;0
63;-"Si c'est pour abandonner mes amis et partir seule avec vous, alors je préfère ne rien avoir";Nami;0
64;-"Comme si j'avais besoin d'une troisième boule";Luffy;0
65;-"Ouille...J'ai mal rien qu'a t'entendre";Nami;0
66;-"Tu ne veux tout de même pas fouler au pieds la détermination d'un homme";Usopp;0
67;-"J'avais justement besoin de feu";Sanji;1
68;-"L'ile céleste, tu crois qu'elle va vraiment disparaitre?";Aisa;0
69;-"Rien de tel qu'un peu d'exercice de temps en temps pour se dérouiller les muscles";Norland;0
70;-"C'est fini, maintenant!! Plus personne ne mourra";Norland;0
71;-"C'est parce que vous éliminez tout ce qui vous dérange que vous êtes coincés dans cet immobilisme";Norland;0
72;-"Vos rituels sont une insulte envers nous";Norland;0
73;-"Est-ce vraiment rendre hommage à vos dieux que de leur sacrifier des vies qu'ils sont censés protéger?";Norland;0
74;-"Je sais reconnaitre des paroles sages quand j'en entends";chef des shandias;0
75;-"Tu m'amuses, essaie donc de te dégager";Kalgara;0
76;-"Les guerriers de shandora que j'admire tant sont des hommes d'honneur";Seto;0
77;-"Aussi grands que soient vos dieux, ils ne sont pas plus importants que des vies humaines";Norland;0
78;-"Dis moi, toi qui es si malin, mourrai je d'une sentence ou d'un accident";Norland;0
79;-"Ce sont vos règles désuètes qui attirent le malheur sur vous";Norland;0
80;-"Réponds-moi...Dis-moi...Ce que je viens de tuer";Kalgara;0
81;-"J'espère que tu ne m'as pas menti!! Peut-tu vraiment sauver mon peuple?";Kalgara;0
82;-"Non. Elle a perdu son sens";Kargara;0
83;-"Vos études et votre ignorance ne justifient rien à leur yeux";Mousse;0
84;-"Un botaniste ne coupe jamais des arbres sans raison";Un homme de l'équipage de Norland;0
85;-"Bien sur que je reviendrais, tu peux en être certain! Nous nous reverrons!! Je te donne ma parole";Norland;0
86;-"Es-tu en vie? je suis si inquiet pour toi";Norland;0
87;-"Est-ce que la cloche peut encore sonner?";Wiper;0
88;-"Le paradis n'est pas si loin d'ici";chef des shandias;0
89;-"Rien ni personne ne m'empêchera de la faire retentir";Luffy;0
90;-"Alors, folie ou pas il faut tenter le coup";Zoro;0
91;-"Après tout je suis un homme, moi aussi....Je fais ce que la nature me dicte";McKinley;0
92;-"Parce que la terre ne s'avoue jamais vaincue";Wiper;0
93;-"C'est la seule chose que peut faire un humain qui se trouve entre la vie et la mort";McKinley;0
94;-"Place au beau temps";Luffy;0
95;-"Je suis venu te sonner les cloches";Luffy;0
96;-"Un dieu, c'est fait pour sauver les gens, pas pour tout détruire autour de lui";Luffy;0
97;-"Pardon de t'avoir fait attendre si longtemps";Wiper;0
98;-"Si vous saviez comme je suis content qu'ils soient tous sains et saufs";Cricket;0
99;-"La vearth, elle ne rejette personne";chef shandias;0
100;-"Moi qui pensais parvenir enfin à les oublier";Robin;0
101;-"Ma route m'a conduit ici et je porterai ce texte jusqu'au bout du monde";Robin ou Roger;0
102;-"Alors dans ce cas, nous n'avons plus besoin de nous battre?";chef shandias;0
103;-"Ah, moi qui pensais enfin me consacrer à mes citrouilles..";Gan Forr;0
104;-"Que l'île céleste existe ou pas. Que la cité d'or relève ou pas du registre de l'imaginaire. Peu m'importe la réponse à ces questions";Doflamingo;0
105;-"Merci à tous d'avoir accompagné mon rêve durant toutes ces années";Cricket;0
106;-"Il est temps de se tourner vers de nouvelles aventures";Cricket;0
