id;citation;reponse;coeur;chapitre;page;trad officiel;
45;-"Désolé de t'avoir fait attendre si longtemps avant de te donner un coup de poing digne de ce nom";Franky;0;404;18;1;
46;-"J'aurais aimé que tu n'hérites pas tout de cet imbécile";Kureha;0;407;9;0;
47;-"Un homme qui pleure est un homme qui n'a plus d'honneur";Kumadori;0;407;10;1;
48;-"Percer ce genre de mystère fait partie du plaisir de combattre un détenteur de pouvoir, tu ne trouves pas?";Kalifa;0;407;16;1;
49;-"Tant que tu n'auras pas élucidé ce phénomène, tu ne pourras pas me vaincre";Kalifa;0;408;3;1;
50;-"Quand on est au service de la vrai justice, il faut parfois être sans pitié";Spandam;0;409;10;1;
51;-"Si "être mignonne" signifie se laisser marcher sur les pieds, ça ne m'intéresse pas";Nami;0;411;14;1;
52;-"Tu es peut-être très forte , mais moi, je me trompe jamais dans mes prévisions";Nami;0;412;10;1;
53;-"Jamais plus tu n'auras occasion de me mettre à terre, gouvernement";Zoro;0;412;18;0;
54;-"Je suis le chasseur";Sanji;1;413;18;1;
55;-"C'est dans les situations les plus graves que se présente les meilleures occasions";Sanji;0;414;8;1;
56;-"Ce que tu n'as pas réussi à faire, je le ferai. En retour, je te demande de faire ce dont je suis incapable";Sanji;0;414;8;1;
57;-"Tu ne pensais quand même pas que j'allais gober ce genre de connerie?";Sanji;0;414;18;0;
58;-"Dieu créa la nourriture et le diable les condiments. Je crois que cette fois le plat était un peu trop épicé";Sanji;1;416;2;1;
59;-"Ça te rend plus fort de te mettre un torchon sur la tête?";Kaku;0;416;9;1;
60;-"La souffrance est bienvenue sur la voie du carnage";Zoro;0;417;18;0;
61;-"Mes compagnons m'ont dit qu'ils me sauveraient";Robin;0;419;7;1;
62;-"Sur une carte, les gens n'apparaissent pas";Robin;0;425;8;1;
63;-"Disons qu'il a un "instant sauvage" très développé, plus encore que le tien";Nami;0;425;16;1;
64;-"Sache que dans ce monde, le mal ne peut prospérer";Lucci;0;426;9;1;
65;-"À l'eau!!";Usopp, Sanji, Nami, Chopper;0;428;17;1;
66;-"Pour échapper à de tels ennemis, il ne suffit pas d'avoir de l'audace";Sanji;0;429;8;1;
67;-"Comment se fait-il que je suis incapable d'arracher une simple femme à cet équipage de minables?";Spandam;0;429;12;1;
68;-"Je veux naviguer. Juste une dernière fois";Vogue Merry;0;430;7;1;
69;-"Je suis en train d'assister à un véritable miracle";Icebarg;0;430;10;1;
70;-"Lorsqu'arrive le moment des adieux, un homme doit être prêt  et il ne doit verser aucune larme";Usopp;0;430;12;1;
71;-"Je voulais continuer les aventures avec vous éternellement";Vogue Merry;0;430;16;0;
72;-"Merci d'avoir pris soin de moi durant tout ce temps";Vogue Merry;1;430;18;0;
73;-"As-tu oublié que nous avons été les disciples d'un être remarquable pour qui rien n'était impossible";Icebarg;0;431;14;1;
74;-"Le poing de l'amour ne manque jamais sa cible";Garp;1;431;25;1;
75;-"Tout ça, c'était pour faire de toi un homme fort";Garp;0;432;3;0;
76;-"Vous deux, essayez donc de l'arrêter";Garp;0;432;8;1;
77;-"C'était pour faire une entrée fracassante";Garp;0;432;15;1;
78;-"Ah! Mince! J'aurais pas dû vous dire tout ça! On fait comme si j'avais rien dit";Garp;0;432;19;0;
79;-"Intégrer la marine m'a permis de découvrir à quel point mon univers était étriqué avant que je te rencontre";Kobby;0;433;6;1;
80;-"As-tu enfin trouvé ta place?";Aokiji;0;433;16;0;
81;-"As-tu enfin trouvé des gens sur qui compter?";Aokiji;0;433;16;1;
82;-"Tant que tu seras en vie, Ohara continuera d'exister";Aokiji;0;433;17;1;
83;-"Comme toujours il exsude sa puissance de malade";Joz;0;434;5;0;
84;-"Désolé pour cette attitude un brin hostile mais il faut me comprendre, je suis sur un navire ennemi après tout";Shanks;0;434;6;1;
85;-"Les gens qui ont connu cette époque se font de plus en plus rares";Barbe Blanche;0;434;8;1;
86;-"Disons que j'ai fait un paris sur l'avenir;Shanks;0;434;10;1;
87;-"Quiconque ignore le sens de l'honneur ne mérite pas de vivre en ce monde";Barbe Blanche;0;434;13;1;
88;-"J'ai bien le droit de rêver, non?! Je suis un pirate";Sanji;0;435;11;1;
89;-"Il serait plus judicieux de faire votre testament avant d'y aller";Kokoro;0;435;13;0;
90;-"Après tout, ses parents étaient pirates";Zambai;0;435;18;1;
91;-"Rassure-moi, tu as bien retiré le cache?";Un marine du QG de la marine;0;436;3;1;
92;-""Si tu dois devenir le roi des pirates, ce sera sur le navire du roi des animaux"";Icebarg;0;436;5;1;
93;-"IL suffit qu'un seul d'entre nous survive pour remettre leur remettre ce slip";Zambai;0;436;12;1;
94;-"L'homme invincible, celui qui même nu est aussi fort qu'un lion et capable d'affronter la vague la plus puissante de ce monde";Franky;0;437;3;1;
95;-"Elles vont se détacher! Comme des clémentines";Kiwi;0;437;5;1;
96;-"Quand des pirates découvrent un trésor, il faut avoir de sacrés arguments pour les convaincre d'y renoncer";Robin;0;437;6;1;
97;-"Il est grand temps que tu te pardonnes à toi-même. Tu as le droit de vivre ton rêve";Icebarg;0;437;10;1;
98;-"On a bien le droit de chercher à te rendre heureux";Zambai;0;437;12;1;
99;-"Où que tu ailles, tu seras toujours notre patron";Zambai;0;437;15;1;
100;-"Je vous promet de revenir";Franky;0;437;19;1;
101;-"S'il recommence à dire de la merde sur tout et n'importe quoi alors il peut rentrer chez lui";Zoro;0;438;5;0;
102;-"C'est moche, la vieillesse";Garp;0;438;11;1;
103;-"Je n'aurais pas dû être aussi borné! J'ai eu tort";Usopp;0;438;16;1;
104;-"Tout ce que je te demande, c'est de ne jamais oublier ce qui fait de toi un sabreur";Koshiro;0;440;5;1;
105;-"Ça fais du bien de revoir sa frimousse. C'est vrai, c'est mieux que rien";Kureha;0;440;8;0;
106;-"Enfin bon, l'essentiel c'est qu'on voit sa tête. C'est la preuve qu'il va bien";Kureha;0;440;8;1;
107;-"Il arrive qu'à certaines époques faites de hasards et de volontés le monde se retrouve remis en question";Dragon;0;440;10;1;
108;-"Ce mot est une marque de politesse. Or tu n'as de respect pour personne";Ace;0;440;11;1;
109;-"Je ne suis pas né homme pour céder devant la force";Ace;1;441;21;1;
110;-"Le soleil contre les ténèbres! Il n'y aura qu'un seul vainqueur";Barbe Noire;0;441;22;1;
