id;citation;reponse;coeur;chapitre;page;trad officiel;
84;-"L'ile céleste, tu crois qu'elle va vraiment disparaitre?";Aisa;0;285;8;1;
85;-"Rien de tel qu'un peu d'exercice de temps en temps pour se dérouiller les muscles";Norland;0;286;19;1;
86;-"C'est fini, maintenant!! Plus personne ne mourra";Norland;0;287;18;1;
87;-"C'est parce que vous éliminez tout ce qui vous dérange que vous êtes coincés dans cet immobilisme";Norland;0;288;4;1;
88;-"Vos rituels sont une insulte envers nous";Norland;0;288;7;1;
89;-"Est-ce vraiment rendre hommage à vos dieux que de leur sacrifier des vies qu'ils sont censés protéger?";Norland;0;288;8;1;
90;-"Je sais reconnaitre des paroles sages quand j'en entends";chef des shandias;0;288;13;1;
91;-"Que signifie le mot "progrès"";Sett;0;288;14;1;
92;-"Tu m'amuses, essaie donc de te dégager";Kalgara;0;288;19;1;
93;-"Les guerriers de shandora que j'admire tant sont des hommes d'honneur";Seto;0;289;5;1;
94;-"Aussi grands que soient vos dieux, ils ne sont pas plus importants que des vies humaines";Norland;0;289;10;1;
95;-"Dis moi, toi qui es si malin, mourrai-je d'une sentence ou d'un accident?";Norland;0;289;15;1;
96;-"Ce sont vos règles désuètes qui attirent le malheur sur vous";Norland;0;289;16;1;
97;-"Réponds-moi...Dis-moi...Ce que je viens de tuer";Kalgara;0;289;17;1;
98;-"J'espère que tu ne m'as pas menti!! Peut-tu vraiment sauver mon peuple?";Kalgara;0;289;18;1;
99;-"Non. Elle a perdu son sens";Kargara;0;291;4;1;
100;-"Vos études et votre ignorance ne justifient rien à leur yeux";Mousse;0;291;8;1;
101;-"Un botaniste ne coupe jamais des arbres sans raison";Un homme de l'équipage de Norland;0;291;13;1;
102;-"Bien sur que je reviendrais, tu peux en être certain! Nous nous reverrons!! Je te donne ma parole";Norland;0;291;18;1;
103;-"Es-tu en vie? je suis si inquiet pour toi";Norland;0;292;10;1;
104;-"Est-ce que la cloche peut encore sonner?";Wiper;0;293;4;1;
105;-"Le paradis n'est pas si loin d'ici";chef des shandias;0;293;5;1;
106;-"Rien ni personne ne m'empêchera de la faire retentir";Luffy;0;294;18;1;
107;-"Alors, folie ou pas il faut tenter le coup";Zoro;0;295;15;1;
108;-"Après tout je suis un homme, moi aussi....Je fais ce que la nature me dicte";McKinley;0;296;15;1;
109;-"Parce que la terre ne s'avoue jamais vaincue";Wiper;0;297;4;1;
110;-"C'est la seule chose que peut faire un humain qui se trouve entre la vie et la mort";McKinley;0;297;14;1;
111;-"Place au beau temps";Luffy;0;297;16;1;
112;-"Je suis venu te sonner les cloches";Luffy;0;298;4;1;
113;-"Un dieu, c'est fait pour sauver les gens, pas pour tout détruire autour de lui";Luffy;0;298;6;1;
114;-"Pardon de t'avoir fait attendre si longtemps";Wiper;0;299;7;1;
115;-"Si vous saviez comme je suis content qu'ils soient tous sains et saufs";Cricket;0;299;12;1;
116;-"Nous sommes là";Narrateur ou les anciens shandias;0;299;16;1;
117;-"Désolé d'être en vie";Pagaya;0;300;8;1;
118;-"La vearth, elle ne rejette personne";chef shandias;0;300;14;1;
119;-"Moi qui pensais parvenir enfin à les oublier";Robin;0;301;4;1;
120;-"Ma route m'a conduit ici et je porterai ce texte jusqu'au bout du monde";Robin ou Roger;0;301;12;1;
121;-"Alors dans ce cas, nous n'avons plus besoin de nous battre?";chef shandias;0;301;14;1;
122;-"Ah, moi qui pensais enfin me consacrer à mes citrouilles..";Gan Forr;0;302;7;1;
123;-"Merci à tous d'avoir accompagné mon rêve durant toutes ces années";Cricket;0;303;2;1;
124;-"Il est temps de se tourner vers de nouvelles aventures";Cricket;0;303;3;1;
125;-"Que l'île céleste existe ou pas. Que la cité d'or relève ou pas du registre de l'imaginaire. Peu m'importe la réponse à ces questions";Doflamingo;0;303;6;1;
126;-"Seuls les vrais pirates pourront survivre dans le nouveau monde qui s'annonce";Doflamingo;0;303;9;1;
127;-"Si on oublie de le remercier pour tous ces services rendus, cela risque un jour de se retourner contre nous";Usopp;0;303;17;1;
