id;citation;reponse;coeur;chapitre;page;Trad officiel;
29;-"Tout ça pour dire qu'il n'existe aucune maladie qu'on ne soigner en ce monde";Hiluluk;0;142;11;1;
30;-"Alors, c'est surement aussi la première fois que tu reçois un cadeau";Hiluluk;0;142;15;0;
31;-"GYAHHH!! C'est pas du jeu si tu te transforme en gros balèze";Hiluluk;0;142;15;0;
32;-"Alors cette fois je vais mourir, pas vrai?";Hiluluk;0;143;2;0;
33;-"J'ai fait l'expérience d'un traitement miraculeux qui m'a purifié le coeur";Hiluluk;0;143;4;1;
34;-"Le bandit qui se repent à l'approche de sa derniere heure, hein?";Kureha;0;143;5;0;
35;-"Nous nous ressemblons, lui et moi";Hiluluk;0;143;7;1;
36;-"Rien n'est impossible pour celui qui vit sous la bannière de la tête de mort";Hiluluk;1;143;15;0;
37;-"Heureusement que les médecins, ces personnes qui passent leur vie à sauver celles des autres, sont tous des gens biens";Hiluluk;0;144;9;1;
38;-"Que voulez-vous qu'on y fasse? Les médecins aussi peuvent tomber malades";un garde de wapol;0;144;9;1;
39;-"On ne peut pas sauver les gens avec seulement des bons sentiments";Kureha;0;144;16;1;
40;-"Un homme meurt dès lors qu'il tombe dans l'oubli";Hiluluk;1;145;5;1;
41;-"Parce que, je...je réalise que c'est la même chose pour un pays";Dalton;0;145;8;1;
42;-"Pouha ha ha! Il pleure comme une madeleine!";Wapol;0;145;8;1;
43;-"Y a pas à dire, j'ai vraiment eu une belle vie";Hiluluk;0;145;9;1;
44;-"Il y a déjà eu trop de sacrifice! Ne donne pas ta vie pour ce pays";Dalton;0;145;13;1;
45;-"Il n'existe aucun remède contre la bétise";Dalton;1;145;15;0;
46;-"Je mettrai au point la panacée";Chopper;0;145;16;0;
47;-"Ah, faudra patienter quelques instants, il est parti chercher de quoi se couvrir";Sanji;0;146;14;1;
48;-"Nous ne pouvons nous permettre de perdre un autre homme de son acabit";Un docteur des toubib20;0;147;4;1;
49;-"C'est un cannibale";Luffy;0;147;8;1;
50;-"Ne voyez-vous donc pas que l'occasion de stopper le dramatique effondrement de ce pays se présente enfin?";Dalton;0;147;13;1;
51;-"Heureusement pour lui que le ridicule ne tue pas";Zoro;0;148;3;0;
52;-"Jamais ce pavillon ne ploiera devant toi! Car il est le symbole de convictions!!";Luffy;0;148;7;1;
53;-"Tu vois, il est inébranlable";Luffy;0;148;8;0;
54;-"Quelqu'un s'est sacrifié pour lui et il ne flotte pas pour amuser la galerie";Luffy;0;148;9;1;
55;-"Roi ou dieu, peu importe! Le prestige de ta position ne signifie rien pour moi";Luffy;0;150;18;0;
56;-"Mon rang et mes honneurs, tu parles! A bas le despote";Dalton;0;151;5;0;
57;-"En t'attaquant à mon auguste personne, tu commets un crime à l'échelle planétaire";Wapol;0;151;6;0;
58;-"En quoi est-ce mal de souhaiter gouverner un pays "humainement"?";Dalton;0;151;11;1;
59;-"Depuis quand les pleurnicheurs dans ton genre sont-ils considérés comme des hommes?";Kureha;0;153;6;1;
60;-"Je ne supporte pas les adieux dans les larmes";Kureha;0;153;12;0;
61;-"Allez, va mon fils";Kureha;0;153;17;0;
62;-"Ici même allait naître une nation dont le drapeau serait pour le moins insolite";Narrateur;0;154;2;0;
63;-"Alors comme ça, la volonté du "D" se perpétue";Kureha;0;154;8;1;
64;-"Je ne me suis jamais autant amusé de toute ma vie";Chopper;0;154;13;1;
