id;citation;reponse;coeur;chapitre;page;
50;-"Selon ce que tu vas dire, je pourrais me montrer cruel avec toi";Sanji;0;620;11;
51;-"J'aimerais quand même te faire comprendre que le monde des hommes nous faisait rêver depuis notre enfance";Octi;0;620;14;
52;-"Elle avait choisi d'endurer le présent pour mieux changer le futur. Par contre, il a renoncé à son futur pour sauver les esclaves des souffrances de leur présent";Jinbe;0;620;17;
53;-"Vous pensiez vraiment apporter le bonheur à vos enfants avec cet argent volé";Otohime;0;621;6;
54;-"Pardonnez-moi! J'ai négligé des difficultés que vous avez rencontrées, vous, un compatriote";Otohime;0;621;7;
55;-"Ces 10 000 mètres qui nous séparent de la surface sont aussi la taille du fossé de l'incompréhension creusé entre les hommes et nous";Otohime;0;621;10;
56;-"Réduire en esclavage est un droit mais redonner la liberté est un crime? Vous comptez aimer les humains malgré cette réalité?";Jinbe;0;621;17;
57;-"Dis-moi, qu'as-tu durant ton voyage?/ Les humains";Discussion entre Fisher Tiger et Neptune;0;622;4;
58;-"Je n'ai point pu entraver sa résolution, ce jour-là, car j'ai entendu le désespoir de son coeur";Otohime;0;622;5;
59;-"Des esclaves? Quels esclaves? Vous avez des preuves qu'il y a des esclaves parmi nous?";Fisher Tiger;0;622;8;
60;-"On perd, si on les tue. Vous cherchez à devenir comme eux?";Fisher Tiger;0;622;11;
61;-"Moi, ce dont j'ai le plus peur, c'est du démon caché au fond de mon coeur";Fisher Tiger;0;622;13;
62;-"Je ne pleurerais plus, quoi qu'il  arrive, alors, ne me tuez pas s'il vous plaît";Koala;0;622;17;
63;-"Elle a dû voir beaucoup de ses amis assassinés, pour avoir pleuré, ou pour s'être reposés";Aladdin;0;622;17;
64;-"Tu peux pleurer si tu en as envie! Et surtout cesse de nous assimiler aux dragons célestes";Fisher Tiger;0;622;19;
65;-"C'est parti les gars, on doit à tout prix ramener cette gamine chez elle";Fisher Tiger;0;622;19;
66;-"Je ne veux rien d'eux. Je refuse de leur être redevable.  Je ne plierai jamais face aux hommes";Fisher Tiger;0;623;16;
67;-"Mon corps refuse d'accepter ce sang. Car moi, je ne peux plus aimer les humains";Fisher Tiger;1;623;18;
68;-"Berzonne z'est d'mandé pourquoi on a choisi d'vivre c't'endroit limite et s..sombre?";Otohime;0;624;11;
69;-"Posez vos armes, tout le monde. Des enfants vous regardent";Otohime;1;625;9;
70;-"Ayez confiance. Croyez la femme que vous avez choisi et croyez les humains";Otohime;0;625;18;
71;-"Quel que soit le tueur, je vous prie de ne pas chercher à me venger. Je ne veux être la source d'aucune haine ni d'aucune colère";Otohime;0;626;18;
72;-"Notre rêve de vie au soleil est à portée de main";Otohime;0;626;20;
73;-"C'est un humain qui a tué notre reine";Hody Jones;0;627;4;
74;-"Ma mère disait toujours 'Nous ne sommes plus qu'à un pas du vrai soleil'";Fukaboshi;0;627;10;
75;-"Que tu sois un homme-poisson n'est pas une raison pour te haïr. Alors, inutile de t'excuser pour l'existence que je mène";Nami;1;627;14;
76;-"Tes paroles me surprennet et me touchent. Je ne les mérite pas";Jinbe;0;627;15;
77;-"Il méprisait les humains, mais il ne s'est jamais montré violent envers ses compatriotes. Lui, par contre, est sans pitié avec ceux qui cherche à fraterniser avec les hommes";Octy;0;627;18;
78;-"Ceux qui ont écrit leur nom sur ces feuilles s'opposent de fait à mon nouveau royaume. En d'autres termes, je tiens là une belle liste de traîtres";Hody Jones;0;628;10;
79;-"Avec moi, même les bons vivants finissent morts de rire";Brook;1;628;14;
80;-"Regarde, je l'imite. J'espère qu'elle ne s'est pas fait déchiqueter par des poissons abyssaux";Usopp;0;628;14;
81;-"Et vous, qui êtes-vous, 'Joy Boy'?";Robin;0;628;15;
82;-"Pourquoi, parce que nous sommes humains?";Chopper et Franky;0;628;19;
83;-"Vous pouvez garder votre cappuccino et vos gâteaux, bande de crétins. Vous me prenez pour une employée de bureau qui passe ses après-midi à s'empriffrer de pâtisseries, hein?";Daruma;0;629;16;
84;-"Le sang des humains est sale, pumpf. Notre sang ne doit pas se mêler au leur, humpf";Dosun;0;630;4;
85;-"Pourquoi le monde... est à l'envers?";Hyozo;0;630;7;
86;-"Alors tu voulais me griller et me déguster avec un verre de saké, hein? Tu vas payer, hui";Ikaros;0;630;15;
87;-"Hui! Calmar en a marre";Ikaros;0;630;16;
88;-"Ne m'appelez pas 'Grand Chevalier', car je ne suis qu'un misérable, incapable de protéger son peuple";Neptune;0;630;17;
89;-"Je me suis rasé le crâne suite à ma déception amoureuse";Vander IX;0;631;3;
90;-"Toi et ton entourage êtes plus faibles que tous les habitants de l'île. Car les habitants de l'île, eux, ont tiré un trait sur la longue histoire des brimades infligées par les humains";Fukaboshi;0;631;13;
91;-"Si ce pirate il casse toute l'île, on va être bien embêtés, mais les méchants aussi. Je veux pas que le roi il meure";Enfants Hommes-Poissons;0;633;8;
92;-"Un homme qui se noie s'accrocherait même à un brin de paille. De toute façon, elle s'est trompée dans sa prédiction";Hody Jones;0;633;9;
93;-"Amis ou ennemis? C'est à vous de décider";Luffy;1;633;17;
94;-"J'adore les héros, mais je veux pas en devenir un. Car moi, je sais très bien ce que c'est qu'un héros";Luffy;0;634;4;
95;-"Jusqu'à présent, vous avez toujours été seule pour protéger cette petite graine que vous avez planté. Mais vous n'êtes plus seule à présent. On peut vous aider";Jinbe;0;634;9;
96;-"C'est le minimum syndical pour être notre capitaine. Sinon, à la porte";Zoro;0;634;14;
97;-"Tu peux devenir le roi de ce que tu veux, où tu veux, mais il ne peut y avoir qu'un seul roi des pirates";Luffy;1;634;14;
98;-"J'ignore ce qu'il a fait pour obtenir sa puissance actuelle, mais face à moi, il n'est qu'un débutant en karaté des hommes-poissons";Jinbe;0;635;4;
99;-"Bienvenue dans mon festival nocturne";Brook;0;635;5;
100;-"Malotru. Je ne suis pas faible, j'ai juste peur";Nami;0;636;9;
101;-"Je suis peut-être insolent mais, je suis surtout un monstre";Chopper;0;636;13;
102;-"Je me demande si tout notre sang suffira à teinter l'océan de rouge;Robin;0;636;13;
103;-"Je préfère que vous m'appeliez 'adorable magicienne'";Nami;0;640;4;
104;-"Vous demandez d'évacuer était mon devoir. Cependant, je comprends que chacun ait sa propre opinion. Vous êtes libres de rester ou de partir";Ministre de la Droite;0;642;10;
105;-"Ceux qui joueront aux 'pirates' devront m'affronter. Mais pour l'instant, ils ne sont même plus 'humains'";Jinbe;0;642;15;
106;-"C'était pour me faire des amis que je voulais devenir humain, avant. Mais maintenant, je veux juste devenir un monstre qui lui est utile";Chopper;0;642;18;
107;-"Je ne refuse jamais la demande d'un bel homme. Ce n'est pas moi mais Jinbe que vous devez remercier"";Robin;1;643;4;
108;-"La force de mon âme vient charger la lame de chaque coup, afin de libérer en ce monde le froid glacial de l'au-delà";Brook;0;643;10;
109;-"Mince, je ne mens plus aussi bien. J'étais pourtant un professionnel du bluff, autrefois. Cependant, je n'ai plus besoin de mentir, désormais";Ussop;0;643;12;
110;-"Il est un monstre enfanté par son environnement";Fukaboshi;0;643;18;
111;-"Rien. Nous avons été choisis pour châtier les humains. Nous tirons notre force du ciel";Hody Jones;0;643;20;
112;-"Les mots de mère sont arrivés trop tard, oui. Car certains enfants avaient déjà grandi dans la haine";Fukaboshi;0;644;14;
113;-"La haine est une illusion que les vivants laissent se développer en eux";Fukaboshi;0;644;14;
114;-"Le passé n'a aucune importance. Aide-nous à repartir à zéro";Fukaboshi;0;644;15;
115;-"J'ai une dette de jeunesse envers Neptune, sans compter que nous avons échangé le verre de l'amitié, lui et moi";Barbe Blanche;0;645;7;
116;-"Regardez plutôt le monde vos propres yeux, les enfants. Voyez comme sur la place et au-dessus de l'île, ce sont des humains qui combattent pour nous";Shirley;0;645;15;
117;-"Venu de l'enfer, le vent nous glace le sang et soulève quelques jupes au passage";Brook;0;646;7;
118;-"Je brûle de ces souvenirs horribles, 'Hello memories'";Sanji;0;646;12;
119;-"Pas les pieds sur terre? T'inquiète, tu vas vites la retrouver, la terre. Quant à mes pieds, je les préfère dans ta grosse face";Sanji;0;646;12;
120;-"Tu me vois comme une grenouille, malgré mes nombreux tentacules? Elle est toxique au moins, cette grenouille?";Hyozo;0;646;13;
121;-"Cet humain au chapeau, je crois bien qu'il a entendu nos voix";Monstre Marin;0;648;6;
122;-"Mon sang n'est pas du bon groupe, mais il est rouge. Cela peut servir?";Shirahoshi;0;648;15;
123;-"Cette vieille loi n'est rien d'autre qu'une de ces 'malédictions' qui nous hantent";Neptune;0;648;16;
124;-"Ce lien efface les difficultés plus sûrement que toutes les belles illusions. Ce lien forme la route la plus sûre vers le soleil";Le Narrateur;0;648;18;
125;-"Quand un homme de parole fait une promesse, Luffy, on n'insiste pas";Sanji;0;649;8;
126;-"Ces trésors n'ont que peu d'importance quand je vois que j'ai failli perdre mon peuple";Neptune;0;650;14;
127;-"Ainsi, mes braves jaunes d'oeuf, vous disiez avoir consommé les gâteaux de cette usine?";Deloeuf;0;651;9;
128;-"Ces gens qui ne donnent pas de gâteaux malgré leur promesse, je les trouve encore plus détestables que des biscuits sans sucre";Big Mom;0;651;11;
129;-"Les trésors ne se mangent pas! J'ai envie de gâteaux bien sucrés";Big Mom;0;651;17;
130;-"L'île n'est pas en sécurité sous ta protection. Je vais t'éclater dans le nouveau monde. Car l'île est maintenant sous ma protection";Luffy;0;651;18;
131;-"Je comprends parfaitement que les hommes ne fuient pas face à la bagarre, mais pourquoi vous lui avez donné tous les trésors?";Nami;0;652;9;
132;-"On ne vit pas longtemps quand on a trop confiance en son logia";Pekoms;0;652;14;
133;-"La provocation d'un oeuf à la coque ne vaut pas une mouillette";Deloeuf;0;652;14;
134;-"Toi, vraiment, t'auras pleuré du début à la fin";Luffy;0;653;5;
135;-"L'aiguille du centre bouge énormément. Voilà notre prochaine destination";Luffy;0;653;10;
136;-"On n'a pas besoin de guide. Les vrais hommes voyagent toujours en enfer";Ussop;0;653;11;
137;-"J'aimerais voir une vraie forêt";Shirahoshi;0;653;14;
138;-"J'ai moins envie de le croquer tout à coup, ce nuage";Chopper;0;654;3;
139;-"Les six autres membres n'en sont pas fiers, mais ils sont toujours vivants";Usopp;0;654;14;
