id;citation;reponse;coeur;chapitre;page;
37;-"Mais une banane et un croco, c'est pareil, non?";Luffy;0;175;9;
38;-"Vos oreilles, c'est pour faire joli?";Smoker;0;175;16;
39;-"C'est eux qui ne sont pas normaux";Usopp;0;176;7;
40;-"La prochaine fois qu'on se croise, t'es un homme mort";Smoker;0;176;13;
41;-"Tu sais ce que j'en fais, moi, de l'avis de la hiérarchie?";Smoker;0;176;15;
42;-"Tu dois survivre coûte que coûte. Même si pour cela, nous devons tous y rester";Zoro;0;177;11;
43;-"Alors dans ce cas, c'est plutôt toi, le crétin";Luffy;0;177;16;
44;-"Exprime toi clairement! Je comprend rien à ce que tu racontes";Luffy;0;177;26;
45;-"Contrairement aux abrutis de ton espèce qui croient qu'il leur suffit de les posséder, moi j'ai perfectionner les miens à l'extrême";Crocodile;0;178;5;
46;-"Les nouveaux venus comme toi qui se prennent pour ce qu'ils sont pas, ce n'est pas ce qu'il manque, crois moi";Crocodile;0;178;19;
47;-"Si tu commence à t'en faire pour nous, on n'est pas rendus";Zoro;0;179;4;
48;-"À toi de décider ce que tu feras là-bas";Smoker;0;179;10;
49;-"Tout peut arriver lorsque les temps changent";Smoker;1;179;11;
50;-"Pourquoi vous battez vous? Vous qui portez le nom de "D"";Robin;0;180;5;
51;-"S'il y a bien une chose que j'ai apprise sur le bateau, c'est qu'il faut jamais renoncer";Vivi;0;182;15;
52;-"Les fruits du démon n'ont pas de volonté propre";Usopp;0;184;9;
53;-"Si on n'a plus de batteur, comment veux-tu qu'on s'amuse?";Miss Merry Christmas;0;184;15;
54;-"Tu t'es bien moqué de moi";Miss Merry Christmas;0;185;7;
55;-"Je t'ai déjà dit que j'étais pas un pingouin";Miss Merry Christmas;0;185;15;
56;-"Parfois, un homme doit savoir accepter le combat. Quand les rêves de ses camarades ont été bafoués";Usopp;1;186;12;
57;-"C'était ta tronche à 90%";Sanji;0;187;22;
58;-"Le pouvoir de "l'amitié" va triompher de toi";Bon Clay;0;187;23;
59;-"Une personne, c'est avant tout un coeur";Sanji;1;187;24;
60;-"C'est pourquoi je vous demande de détruire le palais";Vivi;0;187;27;
61;-"N'empêche, qu'est-ce qu'il fait chaud dans ce pays. J'aurais bien envie de me déshabiller, moi";Bon Clay;0;188;5;
62;-"Je t'en prie, ne me frappe pas";Bon Clay;0;188;7;
63;-"T'as un truc sur la joue gauche";Sanji;0;188;19;
64;-"C'était un beau combat. Il n'y a rien d'autre à ajouter";Sanji;0;189;8;
65;-"Toujours commencer par les plus faibles";Daz Bonez;0;189;16;
66;-"Je voudrais devenir suffisamment forte pour ne pas vous gêner, ce serait la moindre des choses";Nami;0;190;11;
67;-"Si je meurs, je jure de revenir le hanter... L'autre abruti avec son pif de trois mètres";Nami;0;191;5;
68;-"Cette andouille n'a rien compris à sa propre invention";Nami;0;191;17;
69;-"Quelle que soit sa fonction initiale, une arme est avant tout une chose capable de tuer";Miss Doublefinger;0;192;8;
70;-"As-tu la moindre idée de ce qu'elle endure? À côté de ça, sacrifier une jambe c'est de la rigolade";Nami;0;193;4;
71;-"Mais si tu n'as jamais perdu, c'est uniquement parce qu'on ne s'était pas encore affrontés";Zoro;0;194;3;
72;-"Une lame qui endommagerait tout ce qu'elle touche ne mériterait pas le nom de "lame", selon moi";Kôshirô;1;194;16;
73;-"Une seconde d'inattention et voila que frappe la mort";Daz Bonez;0;195;10;
74;-"Il fallait qu'il comprenne la douleur de ce pays mais surtout sa colère";Les Gardes Tsumegeri;0;196;15;
75;-"La vie est quelque chose précieux, il faut prendre soin";Crocodile;0;196;16;
76;-"La faiblesse est un crime";Crocodile;0;196;26;
77;-"Sache que les idéaux ne deviennent réalité que pour ceux qui ont la force de les réaliser";Crocodile;0;198;11;
78;-"On t'entend nous";Luffy;0;199;4;
79;-"As-tu idée de l'énergie que tu m'as fait dépenser?";Crocodile;0;201;18;
80;-"Sache que la justice n'appartient qu'aux puissants";Crocodile;0;202;14;
81;-"Tout simplement parce que je n'ai jamais fais confiance à personne";Crocodile;0;203;11;
82;-"Combien de fois faudra-t-il que tu crèves?";Crocodile;0;204;7;
83;-"Servez-vous de vos yeux pour repérer qui sont nos ennemis";Tashigi;0;206;10;
84;-"Il n'est pas question que j'abandonne une amie";Luffy;0;206;25;
85;-"Je préfère le terme "méticuleux"";Crocodile;0;207;18;
86;-"Servir la famille Nefertari a été pour moi un véritable honneur";Pell;0;208;14;
87;-"Arrêtez les combats";Vivi;1;210;8;
88;-"Et puis les honneurs d'état, c'est pas trop notre truc";Sanji;0;211;11;
89;-"Personne ne peut faire comme si le passé n'avait jamais existé! Vous devez maintenant assumer cette guerre et continuer de vivre";Cobra;1;211;17;
90;-"Je vous interdis de vous approcher de cette équipage";Tashigi;0;212;5;
91;-"T'en fais pas pour ce vieux schnock. Il est increvable";Koza;0;212;6;
92;-"Trois ans, ce n'est rien trois ans. N'est-ce pas, ô pluie bien-aimé?";Toto;0;212;9;
93;-"Si tu t'en veux au point de pleurer, alors deviens plus forte";Smoker;1;212;17;
94;-"Tu leurs diras de ma part qu'ils peuvent aller se faire voir";Smoker;0;212;19;
95;-"La forme? Mais j'ai toujours la forme, moi";Luffy;0;213;9;
96;-"Encore déguisé en femme? C'est bien ce que je pensais";Zoro;0;213;11;
97;-"Il y a des limites au "qui se ressemble s'assemblent"";Zoro;0;213;11;
98;-"Juste derrière ce mur";Cobra;0;213;17;
99;-"Le pouvoir se porte qu'habillé";Cobra;1;213;21;
100;-"C'est donc en tant que père et habitant de ce royaume que je tiens à vous remercier";Cobra;0;213;21;
101;-"Vous êtes surs que c'est moi que vous cherchez?";Bon Clay;0;215;16;
102;-"Êtes-vous prête à tout faire pour rester en vie?";Igaram;0;216;6;
103;-"Tandis qu'il m'aidait à avancer, il m'a dit "ne vois-tu pas cette lumière, là-bas?";Vivi;0;216;8;
104;-"J'aimerais vraiment poursuivre l'aventure, mais j'aime trop ce pays";Vivi;0;216;14;
105;-"Mais si un jour nous nous retrouvons, est-ce que je serai toujours votre amie";Vivi;1;216;15;
106;-"Chapeau de paille réussit à s'enfuir et toi, ça a l'air de te rejouir";Hina;0;217;7;
107;-"J'aurais du mal à ne plus me faire appeler "papa"";Cobra;0;217;12;
108;-"On est trop tristes";Luffy, Usopp, Sanji, Nami, Chopper;0;217;19;
109;-"C'est faux. Tu m'as humilié. Et maintenant, tu dois assumer.";Robin;0;217;22;
110;-"Trop de gens veulent m'empêcher de réaliser mon rêve";Robin;0;218;6;
111;-"La question est de trouver comment aller là-bas";Robin;0;219;3;
112;-"Il ne faut jamais douter de ce qu'indique le logue pose. C'est la règle d'or.";Robin;0;219;4;
113;-"Les corps ne parlent pas, certes, mais ils peuvent révéler bien des informations.";Robin;0;219;6;
114;-"Ne vous réjouissez pas trop vite. Il ne s'agit que d'une simple théorie";Nami;0;219;9;
