id;citation;reponse;coeur;chapitre;page;
29;-"Ah, j'allais oublié. Répète après moi. 'Monsieur *****';Vergo;1;672;5;
30;-"Tu n'as pas fini de me persécuter avec tes idées à la noix? Je te rappelle que je suis de 70 ans ton aîné";Brook;0;672;10;
31;-"J'espère que vous me pardonnerez d'avoir douté de votre sincérité jusqu'à ce que vous me rendiez mon corps";Kinemon;0;672;16;
32;-"Il n'y a pas de flammes qui me résiste";Kinemon;0;672;19;
33;-"Sauvé par sa brillante secrétaire, la classe. J'aurais dû me méfier un peu plus d'elle";Law;0;675;10;
34;-"Rien de plus normal que d'être sur ces gardes quand on est convoqué par son ennemi";Apoo;0;667;5;
35;-"Tant mieux. Heureusement que c'est mon corps et pas le sien qui a tout supporter";Sanji;0;678;11;
36;-"C'est pas le moment de se laisser aller. On vient à peine d'arriver dans le 'Nouveau Monde'";Zoro;0;678;15;
37;-"Maintenant que tu le dis, c'est vrai que je ne l'ai jamais été. Dans ce cas, je vais les réduire en bouillie, ces sales gosses";Vergo;0;679;8;
38;-"Beau boulot, les gars. Grâce à vous, notre supérieur bien-aimé est saine et sauve";Membre du G-5;0;679;20;
39;-"Ces soldats ne sont pas très raffinés et manquent un peu de jugeote, mais quand on apprend à les connaître on se rend compte que ce ne sont pas de mauvais bougres";Vergo;0;680;12;
40;-"Il nous a toujours protégé, nous les rébus de la marine. Son sens moral est irréprochable. Alors cesse de te faire passer pour lui, sale imposteur";Membre du G-5;0;680;15;
41;-"J'ai entendu tomber les larmes d'une femme";Sanji;1;680;16;
42;-"Hein? J'en sais trop rien mais on m'a dit que si je te capturais ce serait le début d'une super aventure";Luffy;0;681;6;
43;-"Pour les encouragements, je n'accepte que les voix de femme";Sanji;0;682;6;
44;-"Si j'avais su que la petite devergondée utilisait des techniques ninja";Kinemon;0;682;14;
45;-"Moi j'ai des raisons d'en vouloir à ce dragon, mais vous, que vous a-t-il fait? Vous vous acharnez sur lui comme s'il avait tué vos parents";Brook;0;682;18;
46;-"J'en suis consciente. Mais ce n'est pas toujours le plus fort qui l'emporte dans un combat";Monet;0;683;5;
47;-"Des 'atrocités', dites-vous? Parce que vous trouvez ça mieux de se servir des énergumènes emprisonnés sur l'île comme de vulgaires cobayes";César;0;684;18;
48;-"Ouais, c'est juste une grande gueule. Faites comme moi, les gars. Payez-vous sa tête en tirant sur votre lèvre inférieure";Sanji;0;686;17;
49;-"Je rêve qu'ils glissent sur la neige et qu'ils crèvent en se cognant la tête par terre";Zoro;0;686;17;
50;-"Tu es doué pour les belles paroles, mais quand il faut passer à l'action c'est autre chose";Zoro;0;687;13;
51;-"Laisse-moi te poser une question: as-tu déjà rencontré une bête féroce dont tu pouvais être sûre qu'elle ne mordrait personne? Moi jamais";Zoro;1;687;14;
52;-"Non!! Recrache tout!! Je t'ai pourtant dit de quel genre de 'médicament' il s'agissait";Chopper;0;688;8;
53;-"Tu veux dire qu'on sera jamais grand et qu'on reverra jamais nos parents?";Mocha;0;688;12;
54;-"Pardonne-nous! On aurait dû vous trouver plus tôt";Chopper;1;688;13;
55;-"Hé boss. Viser les bijoux de famille, ça entre dans la catégorie 'violence'?";Membre du G-5;0;688;17;
56;-"Cette île est semblable à du gaz. Un peu comme si elle "n'existait pas"";César;0;689;14;
57;-"Tu devrais pourtant savoir à quel point une simple tige de bambou comme celle-ci peut devenir une arme redoutable une fois qu'elle est recouverte de fluide";Vergo;0;690;10;
58;-"Comme tu l'as toujours dit, une nouvelle ère s'apprête à déferler avec son lot de guerriers indomptables et de de grands bouleversements. J'ai détruit l'un des rouages, il est trop tard pour faire machine arrière";Law;0;690;18;
59;-"J'ai l'air malin comme ça. Comment est-ce que je vais m'y prendre pour avaler mon petit déjeuner?";Vergo;0;691;7;
60;-"Quand les humains décident qu'il est temps de se défendre, ils sont prêts à tout pour tuer leurs ennemis";César;1;691;13;
61;-"C'est vrai que parfois la vie aurait été tellement plus facile s'il avait été du genre à trahir ses hommes";Usopp;0;691;16;
62;-"Il a encore rasé tout une ville pour éliminer mon nouveau fiancé. Ça ne peut plus durer, il doit mourir";Baby 5;0;692;12;
63;-"Alors, qu'as-tu pensé des flammes de l'amour de mon missile girl?";Baby 5;1;694;4;
64;-"Adieu, jeune maître. Je sais que c'est vous qui deviendrez le roi des pirates";Monet;0;694;12;
65;-"Tu sais ce qu'on dit, sois gentil avec quelqu'un et il te le rendra au centuple";Law;0;694;16;
66;-"Vous me faites penser à une mante religieuse qui tenterait de s'opposer à un navire de guerre";Franky;0;695;5;
67;-"Je n'ai pas peur des ennemis démoralisés qui tentent de prendre la fuite. Des ennemis blessés et qui en plus ont le dos tourné? On s'en charge";Nami et Usopp;1;695;11;
68;-"Je t'ai demandé de ne pas regarder. J'étais en train de découper les enfants";Law;0;696;10;
69;-"Je n'ai jamais pu résister au regard des femmes soldats";Nami;0;696;13;
70;-"Gosse ou pas gosse, je ne tolère pas qu'on gaspille la nourriture";Sanji;0;696;16;
71;-"Ne nous laissons pas mourir! Vivons, Momonosuké!";Kinemon;0;696;17;
72;-"Qui utilise qui? Là est la question";Law;0;696;20;
73;-"Mais, si on arrête de dire du mal de ces hors-la-lois, on va finir par les aimer alors que ce sont des pirates";Membre du G-5;1;697;10;
74;-"Ah là là, je suis désolé, cher ami, mais aurais-tu l'obligeance d'ôter tes sales pattes de là? Cet homme est mon ami";Aokiji;0;698;19;
75;-"Le regard d'un simple vagabond et celui d'un homme qui a pris une grave décision ne sont pas du tout les mêmes";Doflamingo;1;699;7;
76;-"Je suis toujours celui que j'ai été, Smoker";Aokiji;0;699;9;
77;-"Ce gamin est le mal incarné";Kinemon, Sanji et Brook;0;699;14;
