id;citation;reponse;coeur;chapitre;page;trad officiel;
32;-"À côté de ces puissants à la pureté rongée par l'avidité, les pires crapules paraissent bien plus humaines";Kid;0;500;15;1;
33;-"Je constate qu'il est aussi très mal élevé";Kid;0;500;16;1;
34;-"Je ne suis qu'un pauvre artisan revêteur qui ne cache pas son faible pour les jeunes et jolies demoiselles";Rayleigh;1;500;19;1;
35;-"Et puis le moment est particulièrement mal choisi pour affronter deux légendes en même temps";Garp;0;501;3;1;
36;-"Nous espérons que vous trouverez votre bonheur et que vous repartirez chez vous avec l'esclave de votre choix";Disco;0;501;4;1;
37;-"Lorsqu'on a su où était retenue prisonnière la sirène, est-ce que tu m'as vu modifier notre trajectoire?";Duval;0;501;10;1;
38;-"Je ne supporte pas l'idée que des gens comme vous existent";Sanji;0;501;12;0;
39;-"Puisque nous ne pouvons pas la récupérer par la force, alors il ne nous reste plus qu'à jouer selon leurs règles";Nami;0;501;13;1;
40;-"La triste vérité du monde, résumée en une minute";Kid;0;502;10;0;
41;-"Ce cirque est un modèle réduit du monde actuel";Kid;0;502;10;1;
42;-"Souviens-toi, j'ai été un pirate. Je n'ai que ce que je mérite. C'est un juste retour des choses";Octy;0;502;16;1;
43;-"Tu causes encore alors que je t'ai tiré dessus. Tu commences à m'énerver";St Carlos;0;502;17;1;
44;-"Misérable fils de rien! Tu as osé t'en prendre à ma progéniture";St.Rosward;0;503;8;1;
45;-"Il faut se rendre à l'évidence, personne ne voudrait d'un vieux croûton comme esclave";Rayleigh;0;503;17;1;
46;-"Ce chapeau de paille sied à merveille aux hommes de ton envergure";Rayleigh;0;503;19;1;
47;-"Si je les recroise dans le nouveau monde, je leur ficherai une bonne raclée";Bonney;0;504;3;1;
48;-"L'époque est aux "smiles", désormais! Je te demanderais de me laisser tranquille, dorénavant, ne m'appelle plus";Doflamingo;0;504;6;1;
49;-"Moi qui voulais voir s'il était aussi givré qu'on le prétend, je suis servi";Kid;0;504;14;1;
50;-"Je n'oublierai jamais ce que vous avez fait pour moi. Si nos routes se croisent de nouveau un jour, je vous revaudrai ça";Un géant esclave;0;504;16;1;
51;-"Ce sont ceux qui n'ont pas le courage d'affirmer une telle chose qui finiront au fond des eaux";Kid;0;505;11;1;
52;-"Chapeau de paille y est pour beaucoup, n'oublie pas de le remercier";Law;0;505;17;1;
53;-"Les hommes à l'article de la mort se fichent des titres et autres grades qu'on peut leur accorder";Rayleigh;0;506;13;1;
54;-"Je ne mourrai pas, compagnon";Roger;1;506;14;1;
55;-"Il n'y a que ceux qui sont bien vivants aujourd'hui qui peuvent influencer sur notre époque";Rayleigh;0;506;16;1;
56;-"Allô... Ici ***, tu m'entends? Allô, je suis bien arrivé. Répond-moi";Kizaru;1;506;19;1;
57;-"Quand vous aurez pris le temps de parcourir le monde à votre rythme, rien ne dit que vous aboutirez à la même conclusion que nous";Rayleigh;0;507;5;1;
58;-"Si le papy nous dit quoi que ce soit au sujet du trésor, alors moi j'arrête d'être pirate";Luffy;0;507;7;1;
59;-"Le plus libre des hommes au monde, c'est le roi des pirates";Luffy;1;507;8;1;
60;-"Je crois bien que je deviens un de vos fan";Shakky;0;507;9;0;
61;-"Comme je l'ai dit, votre petite force militaire ne peut rien face à la mienne";Bege;0;508;5;0;
62;-"T'es-tu déjà pris un coup à la vitesse de la lumière?";Kizaru;1;508;8;1;
63;-"Maintenant il est temps de savoir s'il y a encore de l'espoir. Voyons un peu comment tu te défends";Urouge;0;508;14;1;
64;-"Vous alors, dès que vous dépassez les 100 millions, vous devenez tous plus effrayants les uns que les autres";Kizaru;0;509;15;1;
65;-"Je t'ai pourtant répété des dizaines de fois qu'il s'agissait d'un appareil d'écoute";Sentomaru;0;510;8;1;
66;-"Si t'es prêt à risquer ta vie, tu pourrais le faire pour tout le monde en servant d'appât";Franky;0;511;9;1;
67;-"Laisse donc ces jeunes pousses tranquilles. Leur ère ne fait que commencer";Rayleigh;0;511;17;1;
68;-"Fuir est tout ce que nous pouvons faire pour l'instant";Luffy;0;512;3;0;
69;-"Dans ton état, tu es encore plus inutile que moi";Usopp;0;512;9;1;
70;-"Ça ne peut pas continuer... Je dois faire quelque chose!! Deux de mes camarades ont déjà disparu";Sanji;0;513;9;1;
71;-"Parce que ça ne te suffit pas de tenir tête à un amiral de la marine? Ma fierté en prend un coup, là";Kizaru;0;513;12;1;
72;-"Je n'ai même pas pu sauver un seul de mes camarades";Luffy;0;513;19;1;
