id;citation;reponse;coeur;chapitre;page;trad officiel;
79;-"Si tu veux devenir l'ombre du roi des pirates, je te conseille de me suivre de près";Luffy;0;482;18;1;
80;-"Si je meurs ici, cela voudra dire  que j'aurais atteint mes limites en tant qu'homme";Zoro;0;484;4;1;
81;-"Je savais que l'état d'épuisement dans lequel vous vous trouvez maintenant m'empêcherai de prendre du plaisir à me débarrasser de vous";Kuma;0;484;16;1;
82;-"Tu nous demandes de trahir notre ami? JAMAIS DE LA VIE!!!";Les Mugi + les victimes thriller bark;0;484;17;1;
83;-"À quoi te sert ton ambition si tu ne peux pas protéger ton capitaine?";Zoro;1;485;11;0;
84;-"En échange, je vais devoir te montrer à quoi ressemble l'enfer";Kuma;0;485;14;1;
85;-"Il possède des camarades sur qui compter. Je reconnais bien là ton fils";Kuma;0;485;17;1;
86;-"Il ne s'est rien passé du tout";Zoro;1;485;19;1;
87;-"Elle a donné une partie de son trésor!! Les poules vont bientôt avoir des dents";Usopp et Luffy;0;486;6;1;
88;-""Le saké de binks", j'ai déjà entendu ce morceau quelque part";Robin;0;486;14;1;
89;-"Et alors, peu importe où on ira, tu pourras venir à l'aventure avec nous";Yorki;0;487;11;0;
90;-"Changez moi ces visages, guys, et redressez-vous";Yorki;0;487;18;0;
91;-"C'est un message pour lui dire que notre voyage s'est terminé dans la joie et la bonne humeur";Brook;0;488;7;1;
92;-"Puis-je te demander de patienter encore un ou deux ans? Tu sais, j'ai ma fierté de pirate";Brook;0;488;19;1;
93;-"Je suis si heureux d'être en vie";Brook;0;489;5;0;
94;-"Faire parti de cet équipage, c'est un peu comme être les cinq doigts de la main, tu saisis?";Zoro;0;489;13;0;
95;-"Vous ne savez pas que les sirènes ne portent pas de culotte?";Frères Risky;0;489;15;1;
96;-"Même s'il était vraiment dans le pétrin, je suis sûr qu'il n'apprécierait pas que je me fasse du souci pour lui";Luffy;0;490;5;1;
97;-"Au fait, j'ai amené du thé fraîchement cueilli. Sors les gâteaux, c'est l'heure du goûter";Garp;0;490;7;1;
